base_word,rhyme_candidate,score
Woroszylskim,luwijskim,0.56
Woroszylskim,ceranowskim,0.61
barbarzyńskim,starokiszewskim,0.55
barbarzyńskim,jedwabińskim,0.65
skamandryckim,trapezunckim,0.61
skamandryckim,agańskim,0.51
towarzyskim,bufońskim,0.57
towarzyskim,hunańskim,0.57
poetyckim,herbatnim,0.45
poetyckim,bobrownickim,0.67
sumeryjskim,świętolipskim,0.62
sumeryjskim,bukaresztańskim,0.57
superszybkim,makowskim,0.51
superszybkim,łacińskim,0.51
gotyckim,grażdańskim,0.6
gotyckim,mikronezyjskim,0.5
rosyjskim,lubocheńskim,0.62
rosyjskim,kafuańskim,0.62
Gałczyńskim,ciastkarskim,0.62
Gałczyńskim,dżalandharskim,0.57
katyńskim,dewastatorskim,0.57
katyńskim,galijskim,0.67
madryckim,tomaszowskim,0.53
madryckim,wczesnopolskim,0.53
paryskim,samborzeckim,0.55
paryskim,tyrolskim,0.7
raczyńskim,palikirskim,0.59
raczyńskim,karaim,0.5
brytyjskim,mieńszewickim,0.53
brytyjskim,henrycjańskim,0.62
cieszyńskim,henrycjańskim,0.64
cieszyńskim,konstancińskim,0.64
jeżyckim,łukciańskim,0.6
jeżyckim,czworakim,0.6
przesmyckim,ryńskim,0.53
przesmyckim,gręboszowskim,0.53
olbrzymim,abidżańskim,0.45
olbrzymim,łobeskim,0.5
Bazylim,haczowskim,0.5
Bazylim,maleńkim,0.5
fałszywki,wecki,0.45
fałszywki,minimalistki,0.4
Gałczyński,trzyminutówki,0.4
Gałczyński,szopki,0.45
fałszywi,hakingowi,0.45
fałszywi,terpicholowi,0.4
kamyczki,cukierniki,0.45
kamyczki,gwanaki,0.5
landrynki,sanocki,0.5
landrynki,taperki,0.5
maszynki,asmarki,0.5
maszynki,dociski,0.5
natryski,imprezki,0.5
natryski,baranowicki,0.4
pastylki,rudaski,0.5
pastylki,karruki,0.5
patyczki,dosiewki,0.5
patyczki,łapserdaki,0.45
stacyjki,tyciuśki,0.5
stacyjki,mirecki,0.5
szatynki,świedziebski,0.5
szatynki,mrówki,0.45
zadymki,flaki,0.45
zadymki,buliki,0.5
