base_word,rhyme_candidate,score
tiksotropij,Grigorij,0.45
tiksotropij,odpocznij,0.45
tiksotropij,zapomnij,0.45
tiksotropij,przypomnij,0.45
tiksotropij,wyrośnij,0.45
tiksotropij,popij,0.53
tiksotropij,dobij,0.4
tiksotropij,cofnij,0.4
tiksotropij,dotknij,0.4
tiksotropij,golnij,0.4
tiksotropij,kopnij,0.4
tiksotropij,ochrzcij,0.4
tiksotropij,ocknij,0.4
tiksotropij,pomnij,0.4
tiksotropij,pomścij,0.4
tiksotropij,porwij,0.4
tiksotropij,poślij,0.4
tiksotropij,rośnij,0.4
tiksotropij,rozbij,0.4
tiksotropij,spocznij,0.4
tiksotropij,dotychczasowemu,0
tiksotropij,ewolucjonizmów,0
tiksotropij,handikapowałem,0
tiksotropij,geofizyczka,0
tiksotropij,kwapów,0
tiksotropij,galaretowaciano,0
tiksotropij,mikrofalowała,0
tiksotropij,bednarzowań,0
tiksotropij,sprzymierzajmyż,0
tiksotropij,pandanowata,0
tiksotropij,odludny,0
tiksotropij,gliniakami,0
tiksotropij,żonglujemy,0
tiksotropij,milknęli,0
tiksotropij,zaaprowidowałeś,0
tiksotropij,uciekałem,0
tiksotropij,czajniczku,0
tiksotropij,dębowokłodzkich,0
tiksotropij,lawirować,0
tiksotropij,tarujecie,0
anorchizmy,amorfizmy,0.64
anorchizmy,zapomnijmy,0.5
anorchizmy,rozpocznijmy,0.5
anorchizmy,sylogizmy,0.64
anorchizmy,wyrośliśmy,0.5
anorchizmy,przypomnijmy,0.5
anorchizmy,mikrofilmy,0.5
anorchizmy,anonimy,0.5
anorchizmy,narodzimy,0.5
anorchizmy,stanowimy,0.5
anorchizmy,zakropimy,0.5
anorchizmy,zapomnimy,0.5
anorchizmy,zarobimy,0.5
anorchizmy,dochodzimy,0.5
anorchizmy,dogonimy,0.5
anorchizmy,obchodzimy,0.5
anorchizmy,odchodzimy,0.5
anorchizmy,odnowimy,0.5
anorchizmy,pochodzimy,0.5
anorchizmy,podchodzimy,0.5
anorchizmy,chrypliwe,0
anorchizmy,degustuj,0
anorchizmy,fluksje,0
anorchizmy,obetkałyby,0
