base_word,rhyme_candidate,score
ja,a,1
ja,ba,1
ja,jałowiczy,0
ja,jednośrubowym,0
ją,ą,1
ją,brzmią,1
ją,jarzmianko,0
ją,jednolatką,0
je,brnie,1
je,chce,1
je,jednopasmówkach,0
je,jakobianach,0
jad,ad,1
jad,at,1
jad,jodłującej,0
jad,jednolicicie,0
jag,jak,1
jag,bag,1
jag,judoczkom,0
jag,jasnobrązowych,0
jaj,aj,1
jaj,baj,1
jaj,jonieckiemu,0
jaj,justowanie,0
jak,bag,1
jak,bak,1
jak,jutrzenkowe,0
jak,jednoskośną,0
jam,am,1
jam,bam,1
jam,jaśniepaniom,0
jam,jarmarczkach,0
jap,ab,1
jap,bab,1
jap,jojczałbym,0
jap,jednoskrętce,0
jar,bar,1
jar,car,1
jar,jarmark,0
jar,jadzilibyście,0
jaś,Staś,1
jaś,taś,1
jaś,jednozwojną,0
jaś,judykaturami,0
jat,jad,1
jat,ad,1
jat,jęczmiona,0
jat,jękną,0
jaw,baw,1
jaw,braw,1
jaw,jojczyłbym,0
jaw,jaśkowi,0
jaz,as,1
jaz,bas,1
jaz,jordanonie,0
jaz,jadłospisowy,0
jaź,paź,1
jaź,poraź,1
jaź,jutrznię,0
jaź,jezuickościom,0
jąć,brnąć,1
jąć,ciąć,1
jąć,jodoformem,0
jąć,jątrzonej,0
jął,brnął,1
jął,czknął,1
jął,jasnozłocista,0
jął,jędrniałabym,0
jeb,cep,1
jeb,chleb,1
jeb,jarane,0
jeb,jednokreślnemu,0
jej,chciej,1
jej,chlej,1
jej,jeżynowa,0
jej,jelenionoga,0
jem,bzem,1
jem,dnem,1
jem,jednolitością,0
jem,jednopolowych,0
jen,ben,1
jen,cen,1
jen,jaskrawizną,0
jen,jodzicom,0
jer,Cher,1
jer,der,1
jer,junnańska,0
jer,juczonym,0
jet,bied,1
jet,et,1
jet,jechaniach,0
jet,jojczące,0
jeż,beż,1
jeż,bierz,1
jeż,junkierszczyzn,0
jeż,jałowiznami,0
jęć,chęć,1
jęć,cięć,1
jęć,jambografio,0
jęć,jęknięciach,0
jęk,brzdęk,1
jęk,brzęk,1
jęk,języczek,0
jęk,jabolom,0
jęt,pęd,1
jęt,pęt,1
jęt,justyniańskie,0
jęt,jonoforeza,0
jig,bzik,1
jig,dzik,1
jig,judaizuje,0
jig,judaistko,0
jin,chin,1
jin,din,1
jin,judaistko,0
jin,judzone,0
job,bob,1
