base_word,rhyme_candidate,score
la,a,1
la,ba,1
la,lateryzacjach,0
la,lubawczankach,0
li,brwi,1
li,brzmi,1
li,lisiurą,0
li,limbiczną,0
lu,bu,1
lu,bzu,1
lu,lipurii,0
lu,lokomobilową,0
lab,ab,1
lab,bab,1
lab,ludikowskiego,0
lab,legalistko,0
lać,bać,1
lać,brać,1
lać,labilnościami,0
lać,litografa,0
lad,lat,1
lad,ad,1
lad,laterytowej,0
lad,lubonianką,0
laf,gaf,1
laf,graf,1
laf,longanie,0
laf,ludwisarstwem,0
lag,lak,1
lag,bag,1
lag,laminowała,0
lag,lekkostopego,0
lai,bai,1
lai,czai,1
lai,lapidariach,0
lai,likuj,0
lak,lag,1
lak,bag,1
lak,litujemy,0
lak,losów,0
lal,al,1
lal,bal,1
lal,lambrettami,0
lal,luzaku,0
lał,bał,1
lał,brał,1
lał,lawaterzowi,0
lał,linorycie,0
lam,am,1
lam,bam,1
lam,lipnian,0
lam,lamento,0
lań,dań,1
lań,dlań,1
lań,liońskie,0
lań,lalkarskiej,0
lar,bar,1
lar,car,1
lar,ligustr,0
lar,luboniankami,0
las,as,1
las,bas,1
las,lizygenicznego,0
las,lojalizmach,0
lat,lad,1
lat,ad,1
lat,lądczankę,0
lat,lamentująca,0
law,baw,1
law,braw,1
law,lamaitów,0
law,lawonichą,0
ląc,brnąc,1
ląc,brzdąc,1
ląc,lelowska,0
ląc,luksemburskiemu,0
ląd,błąd,1
ląd,kąt,1
ląd,liliowościom,0
ląd,listerii,0
ląg,ciąg,1
ląg,drąg,1
ląg,labretu,0
ląg,loduję,0
lec,biec,1
lec,hec,1
lec,lakcidami,0
lec,labiedziliby,0
leć,brzmieć,1
leć,chcieć,1
leć,laterytowej,0
leć,lingwetkach,0
lee,ee,1
lee,See,1
lee,luzownikami,0
lee,lotionie,0
leg,lek,1
leg,bek,1
leg,lokalizować,0
leg,lignozami,0
lei,brei,1
lei,dei,1
lei,lejkowatymi,0
lei,lambrekina,0
lej,chciej,1
lej,chlej,1
lej,lemmach,0
lej,lufowy,0
lek,bek,1
lek,bieg,1
lek,lakową,0
lek,laserowań,0
len,ben,1
len,cen,1
len,liczarzami,0
len,lantanami,0
leń,brzmień,1
leń,ceń,1
leń,leszczów,0
leń,lupanin,0
lep,cep,1
lep,chleb,1
lep,lanametrem,0
lep,ligandach,0
leu,bleu,1
leu,Dieu,1
leu,legionowianką,0
leu,lustratorzy,0
lew,brew,1
lew,chlew,1
lew,lewantyńskimi,0
lew,lornetującym,0
lex,ex,1
lex,Text,1
lex,limfocytozom,0
lex,laudacjom,0
leź,rzeź,1
leź,weź,1
leź,logotypy,0
leź,lektorzy,0
leż,beż,1
leż,bierz,1
leż,libacjo,0
leż,likopodia,0
lęg,lęk,1
lęg,brzdęk,1
lęg,lubaską,0
lęg,lanckorończyk,0
lęk,brzdęk,1
lęk,brzęk,1
lęk,libiąski,0
lęk,likszparom,0
lic,nic,1
lic,pic,1
lic,lekturowemu,0
lic,lekturą,0
lid,bit,1
lid,dzid,1
lid,listów,0
lid,listerę,0
lig,bzik,1
lig,dzik,1
lig,logomachio,0
lig,lokajstwami,0
lik,bzik,1
lik,dzik,1
lik,lolitkach,0
lik,leniwieję,0
lim,bim,1
lim,im,1
lim,litocholowe,0
lim,legalizuj,0
lin,chin,1
lin,din,1
lin,likszparę,0
lin,leżnikiem,0
lip,chip,1
lip,chlip,1
lip,latyfundialną,0
lip,lituaniści,0
lir,ćwir,1
lir,mir,1
lir,lalkowym,0
lir,luminoforowi,0
lis,liz,1
lis,bis,1
lis,litrówek,0
lis,lebiodach,0
lit,bit,1
lit,dzid,1
lit,luftowanie,0
