base_word,rhyme_candidate,score
impresjonistka,k,1
impresjonistka,a,1
impresjonistka,ba,1
impresjonistka,bla,1
impresjonistka,ca,1
impresjonistka,cha,1
impresjonistka,cna,1
impresjonistka,ćma,1
impresjonistka,da,1
impresjonistka,dba,1
impresjonistka,dla,1
impresjonistka,dna,1
impresjonistka,dnia,1
impresjonistka,drga,1
impresjonistka,drwa,1
impresjonistka,dwa,1
impresjonistka,gna,1
impresjonistka,gra,1
impresjonistka,ha,1
impresjonistka,ja,1
impresjonistka,kra,1
impresjonistka,kwa,1
impresjonistka,la,1
impresjonistka,lwa,1
impresjonistka,ma,1
impresjonistka,na,1
impresjonistka,pa,1
impresjonistka,pcha,1
impresjonistka,pnia,1
impresjonistka,psa,1
impresjonistka,psia,1
impresjonistka,rdza,1
impresjonistka,ska,1
impresjonistka,skra,1
impresjonistka,swa,1
impresjonistka,sza,1
impresjonistka,ta,1
impresjonistka,tka,1
impresjonistka,tra,1
impresjonistka,trwa,1
impresjonistka,trza,1
impresjonistka,twa,1
impresjonistka,va,1
impresjonistka,via,1
impresjonistka,wa,1
impresjonistka,wda,1
impresjonistka,za,1
impresjonistka,zda,1
impresjonistka,zna,1
impresjonistka,żołnę,0
impresjonistka,hydrolizują,0
impresjonistka,melorecytowani,0
impresjonistka,kręgi,0
impresjonistka,żuchwowym,0
impresjonistka,urzutowałaby,0
impresjonistka,mollowym,0
impresjonistka,cynkujący,0
impresjonistka,tryftongiczna,0
impresjonistka,frazującej,0
impresjonistka,leżajszczanin,0
impresjonistka,bruzdkowałyście,0
impresjonistka,mieszczanieliby,0
impresjonistka,transparentową,0
impresjonistka,onymi,0
impresjonistka,yorkshirze,0
impresjonistka,tęchnących,0
impresjonistka,doskonałościach,0
impresjonistka,żywnymi,0
impresjonistka,środkowniku,0
impresjonistka,sęka,0
impresjonistka,ekspatriowałaś,0
impresjonistka,limonit,0
impresjonistka,bajzlem,0
impresjonistka,bełkoczących,0
impresjonistka,lampowemu,0
impresjonistka,uroczącą,0
impresjonistka,upierdzieliłaś,0
impresjonistka,immunizatorów,0
impresjonistka,śluzowa,0
impresjonistka,defektywnym,0
impresjonistka,hipisowskie,0
impresjonistka,dębowokłodzkiej,0
impresjonistka,dezyntegrowałeś,0
impresjonistka,apatozaurom,0
impresjonistka,kopista,0
impresjonistka,mikrorozkazowi,0
impresjonistka,tonował,0
impresjonistka,uleczałyście,0
impresjonistka,ajguńskimi,0
impresjonistka,hepatologia,0
impresjonistka,lizawością,0
impresjonistka,bobrkowatemu,0
impresjonistka,pakajsowi,0
impresjonistka,terrorystkach,0
impresjonistka,amantach,0
impresjonistka,lecytyna,0
impresjonistka,zasól,0
impresjonistka,oklinowalibyśmy,0
impresjonistka,allela,0
rożcową,brzozową,1
rożcową,domową,1
rożcową,dzwonkową,1
rożcową,gotową,1
rożcową,groszową,1
rożcową,lodową,1
rożcową,miodową,1
rożcową,morową,1
rożcową,pionową,1
rożcową,polową,1
rożcową,portową,1
rożcową,rozmową,1
rożcową,schodową,1
rożcową,sodową,1
rożcową,sosnową,1
rożcową,sportową,1
rożcową,tronową,1
rożcową,wojskową,1
rożcową,zbiorową,1
rożcową,bojową,1
rożcową,zdrojową,1
rożcową,dobrocią,1
rożcową,kontrolą,1
rożcową,koroną,1
