base_word,rhyme_candidate,score
tiksotropij,Grigorij,1
tiksotropij,odpocznij,1
tiksotropij,zapomnij,1
tiksotropij,przypomnij,1
tiksotropij,wyrośnij,1
tiksotropij,popij,1
tiksotropij,dobij,1
tiksotropij,cofnij,1
tiksotropij,dotknij,1
tiksotropij,golnij,1
tiksotropij,kopnij,1
tiksotropij,ochrzcij,1
tiksotropij,ocknij,1
tiksotropij,pomnij,1
tiksotropij,pomścij,1
tiksotropij,porwij,1
tiksotropij,poślij,1
tiksotropij,rośnij,1
tiksotropij,rozbij,1
tiksotropij,spocznij,1
tiksotropij,dotychczasowemu,0
tiksotropij,ewolucjonizmów,0
tiksotropij,handikapowałem,0
tiksotropij,geofizyczka,0
tiksotropij,kwapów,0
tiksotropij,galaretowaciano,0
tiksotropij,mikrofalowała,0
tiksotropij,bednarzowań,0
tiksotropij,sprzymierzajmyż,0
tiksotropij,pandanowata,0
tiksotropij,odludny,0
tiksotropij,gliniakami,0
tiksotropij,żonglujemy,0
tiksotropij,milknęli,0
tiksotropij,zaaprowidowałeś,0
tiksotropij,uciekałem,0
tiksotropij,czajniczku,0
tiksotropij,dębowokłodzkich,0
tiksotropij,lawirować,0
tiksotropij,tarujecie,0
anorchizmy,amorfizmy,1
anorchizmy,zapomnijmy,1
anorchizmy,rozpocznijmy,1
anorchizmy,sylogizmy,1
anorchizmy,wyrośliśmy,1
anorchizmy,przypomnijmy,1
anorchizmy,mikrofilmy,1
anorchizmy,anonimy,1
anorchizmy,narodzimy,1
anorchizmy,stanowimy,1
anorchizmy,zakropimy,1
anorchizmy,zapomnimy,1
anorchizmy,zarobimy,1
anorchizmy,dochodzimy,1
anorchizmy,dogonimy,1
anorchizmy,obchodzimy,1
anorchizmy,odchodzimy,1
anorchizmy,odnowimy,1
anorchizmy,pochodzimy,1
anorchizmy,podchodzimy,1
anorchizmy,chrypliwe,0
anorchizmy,degustuj,0
anorchizmy,fluksje,0
anorchizmy,obetkałyby,0
anorchizmy,rozjazgotałabyś,0
anorchizmy,fasolowatych,0
anorchizmy,toczyłyście,0
anorchizmy,hugonotom,0
anorchizmy,korfantowianie,0
anorchizmy,leszczynie,0
anorchizmy,bieżało,0
anorchizmy,pądem,0
anorchizmy,lupulina,0
anorchizmy,żarliwcach,0
anorchizmy,utył,0
anorchizmy,unurzaniu,0
anorchizmy,tunisyjczykach,0
anorchizmy,likszparą,0
anorchizmy,cieślarni,0
anorchizmy,barakudowatego,0
kpią,ą,1
kpią,brzmią,1
kpią,chcą,1
kpią,czcią,1
kpią,czczą,1
kpią,drą,1
kpią,drgną,1
kpią,drwią,1
kpią,drżą,1
kpią,grą,1
kpią,grzmią,1
kpią,ją,1
kpią,klną,1
kpią,krwią,1
kpią,lgną,1
kpią,lśnią,1
kpią,lwią,1
kpią,lżą,1
kpią,mdłą,1
kpią,mglą,1
kpią,bradyteliami,0
kpią,filoginię,0
kpią,mizdrom,0
kpią,wymknął,0
kpią,bioenergetyką,0
kpią,antyutopio,0
kpią,epikotylowi,0
kpią,wyrobem,0
kpią,fryzowałem,0
kpią,boskimi,0
kpią,czabanem,0
kpią,mamłanie,0
kpią,antywstrząsowym,0
kpią,kafarowni,0
kpią,jelonkowskiego,0
kpią,józefowskiemu,0
kpią,fikać,0
kpią,demaskacyjnymi,0
kpią,rozżalił,0
kpią,agitowali,0
berkach,beczkach,1
berkach,belkach,1
berkach,deskach,1
berkach,freskach,1
berkach,kreskach,1
berkach,nerkach,1
berkach,resztkach,1
berkach,rzeczkach,1
berkach,setkach,1
berkach,ścierkach,1
berkach,ścieżkach,1
berkach,mieszkach,1
berkach,nieckach,1
berkach,czekach,1
berkach,rekach,1
berkach,rzekach,1
berkach,szczekach,1
berkach,wiekach,1
berkach,dreszczach,1
berkach,gestach,1
berkach,heliopauzo,0
berkach,dobytą,0
berkach,usługobiorcach,0
berkach,śródlekcyjne,0
berkach,ekonomista,0
berkach,hydrometru,0
berkach,boston,0
berkach,paciorkowcowi,0
berkach,jasiami,0
berkach,archiwizujmyż,0
berkach,nudnego,0
berkach,haftaczkach,0
berkach,samoklejącym,0
berkach,enteromorfach,0
berkach,dojrzewalnikami,0
berkach,atmofila,0
berkach,ustalałem,0
berkach,zabałamucimy,0
berkach,obarczonemu,0
berkach,radziejowickim,0
jadowitościami,mi,1
jadowitościami,brwi,1
jadowitościami,brzmi,1
jadowitościami,bździ,1
jadowitościami,ci,1
jadowitościami,cni,1
jadowitościami,czci,1
jadowitościami,ćmi,1
jadowitościami,di,1
jadowitościami,dni,1
jadowitościami,drwi,1
jadowitościami,drzwi,1
jadowitościami,grzmi,1
jadowitościami,hi,1
jadowitościami,i,1
jadowitościami,ki,1
jadowitościami,kpi,1
jadowitościami,krwi,1
jadowitościami,li,1
jadowitościami,lśni,1
jadowitościami,emetykami,0
jadowitościami,tankującym,0
jadowitościami,kominiarstwami,0
jadowitościami,aerosiewom,0
jadowitościami,noria,0
jadowitościami,ślinkach,0
jadowitościami,ukrochmaliłyby,0
jadowitościami,zmazane,0
jadowitościami,cieplutką,0
jadowitościami,łajna,0
jadowitościami,fatjanowskiego,0
jadowitościami,armatora,0
jadowitościami,lobeliowaci,0
jadowitościami,odsolić,0
jadowitościami,jakimikolwiek,0
jadowitościami,owsica,0
jadowitościami,trójaktowym,0
jadowitościami,uzdrowotnianego,0
jadowitościami,urzeczownikowił,0
jadowitościami,ulezę,0
uprzedzanymi,mi,1
uprzedzanymi,brwi,1
uprzedzanymi,brzmi,1
uprzedzanymi,bździ,1
uprzedzanymi,ci,1
uprzedzanymi,cni,1
uprzedzanymi,czci,1
uprzedzanymi,ćmi,1
uprzedzanymi,di,1
uprzedzanymi,dni,1
uprzedzanymi,drwi,1
uprzedzanymi,drzwi,1
uprzedzanymi,grzmi,1
uprzedzanymi,hi,1
uprzedzanymi,i,1
uprzedzanymi,ki,1
uprzedzanymi,kpi,1
uprzedzanymi,krwi,1
uprzedzanymi,li,1
uprzedzanymi,lśni,1
uprzedzanymi,głasnęliście,0
uprzedzanymi,chuchnijcie,0
uprzedzanymi,zasuw,0
uprzedzanymi,trudzonym,0
uprzedzanymi,mlekopędnego,0
uprzedzanymi,tręzle,0
uprzedzanymi,ściągacze,0
uprzedzanymi,świadczycieli,0
uprzedzanymi,kondycjonowało,0
